voltage,time
3.171,42.87473773956299
3.197,42.97977352142334
3.171,43.08486032485962
3.197,43.18997287750244
3.184,43.29504203796387
3.197,43.40008091926575
3.197,43.505215883255005
3.184,43.6103081703186
3.197,43.71540021896362
3.171,43.8204402923584
3.197,43.925535678863525
3.197,44.030478715896606
3.197,44.135356426239014
3.197,44.24022555351257
3.197,44.34511756896973
3.197,44.44998478889465
3.197,44.55486035346985
3.197,44.65979743003845
3.197,44.76500988006592
3.197,44.87011384963989
3.197,44.97522807121277
3.197,45.08023381233215
3.184,45.18533134460449
3.197,45.29037284851074
3.197,45.39554238319397
3.197,45.500584840774536
3.197,45.605674266815186
3.197,45.71073603630066
3.197,45.81581377983093
3.197,45.92097592353821
3.197,46.026031494140625
3.197,46.13106822967529
3.197,46.23617339134216
3.197,46.34121561050415
3.197,46.446258544921875
3.184,46.55134892463684
3.197,46.65646529197693
3.197,46.761563539505005
3.197,46.86662411689758
3.197,46.971710443496704
3.197,47.07684540748596
3.197,47.181901693344116
3.197,47.28700923919678
3.197,47.392169713974
3.197,47.497297525405884
3.197,47.60239386558533
3.197,47.707510232925415
3.197,47.81255483627319
3.197,47.9176709651947
3.197,48.022762060165405
3.197,48.12786316871643
3.197,48.232951641082764
3.197,48.33805322647095
3.197,48.44314765930176
3.197,48.54825305938721
3.197,48.65334367752075
3.197,48.75842595100403
3.197,48.86358833312988
3.197,48.96943402290344
3.197,49.0743305683136
3.197,49.17922258377075
3.197,49.28411555290222
3.197,49.388999700546265
3.197,49.4939022064209
3.197,49.598827600479126
3.197,49.70403575897217
3.197,49.809091567993164
3.197,49.91418981552124
3.197,50.01934814453125
3.197,50.12447762489319
3.197,50.22955250740051
3.197,50.334638833999634
3.197,50.439698457717896
3.21,50.54480457305908
3.197,50.64985179901123
3.158,50.75489377975464
3.132,50.85994219779968
3.094,50.96498227119446
3.094,51.070019006729126
3.042,51.17514610290527
2.991,51.28025579452515
2.965,51.385353088378906
2.926,51.49039602279663
2.9,51.59560179710388
2.887,51.700703620910645
2.887,51.80589413642883
2.887,51.91099715232849
2.784,52.01605725288391
2.759,52.12109351158142
2.72,52.226158142089844
2.707,52.33120274543762
2.668,52.43628907203674
2.643,52.54141163825989
2.63,52.646451473236084
2.565,52.75153470039368
2.565,52.856658697128296
2.539,52.961751222610474
2.501,53.06679368019104
2.488,53.17183208465576
2.475,53.276893854141235
2.475,53.381983280181885
2.475,53.48702692985535
2.475,53.59212255477905
2.475,53.69717240333557
2.475,53.802279472351074
2.307,53.90750551223755
2.282,54.01252317428589
2.269,54.11752724647522
2.269,54.22260785102844
2.23,54.327730655670166
2.204,54.4327757358551
2.166,54.53784489631653
2.153,54.64291262626648
2.127,54.74799823760986
2.101,54.8530375957489
2.088,54.95807075500488
2.05,55.06312084197998
2.05,55.16815805435181
2.011,55.2732470035553
2.011,55.37831974029541
1.972,55.48336434364319
1.959,55.58845090866089
1.934,55.69355797767639
1.934,55.798606157302856
1.895,55.90369653701782
1.869,56.00882816314697
1.843,56.1139349937439
1.843,56.219123125076294
1.83,56.32416605949402
1.818,56.42927026748657
1.792,56.534321308135986
1.766,56.639408111572266
1.74,56.744556188583374
1.727,56.84964418411255
1.702,56.95474290847778
1.702,57.05989384651184
1.689,57.164974212646484
1.663,57.27006220817566
1.663,57.375126361846924
1.65,57.48018550872803
1.65,57.585288524627686
1.65,57.690327882766724
1.65,57.795384645462036
1.65,57.90042304992676
1.65,58.005523920059204
1.65,58.11063742637634
1.65,58.215702533721924
1.65,58.32078766822815
1.65,58.425862312316895
1.65,58.53095984458923
1.65,58.63600540161133
1.65,58.74104404449463
1.444,58.84614062309265
1.444,58.95130705833435
1.418,59.056209325790405
1.392,59.16110014915466
1.379,59.265992641448975
1.354,59.3709282875061
1.354,59.47580409049988
1.328,59.580689668655396
1.315,59.68577480316162
1.315,59.790828227996826
1.276,59.89592671394348
1.276,60.00102257728577
1.276,60.10606789588928
1.263,60.21111059188843
1.25,60.31623029708862
1.237,60.42131686210632
1.237,60.52641940116882
1.237,60.63149547576904
1.237,60.736550092697144
1.237,60.841628074645996
1.16,60.946675062179565
1.16,61.05170726776123
1.134,61.156808614730835
1.134,61.26190233230591
1.134,61.366994857788086
1.109,61.47208261489868
1.109,61.577173948287964
1.083,61.682262897491455
1.07,61.78735971450806
1.057,61.8924286365509
1.057,61.99753713607788
1.018,62.102630376815796
1.018,62.207683086395264
1.018,62.31274700164795
1.018,62.41779065132141
1.005,62.52283215522766
1.005,62.627888917922974
0.993,62.73292899131775
0.98,62.83797240257263
0.98,62.94311308860779
0.954,63.048158407211304
0.928,63.15327048301697
0.915,63.25830841064453
0.915,63.36337375640869
0.915,63.46840691566467
0.915,63.57353663444519
0.902,63.67863082885742
0.812,63.783724784851074
0.812,63.888965129852295
0.812,63.99410939216614
0.812,64.09900259971619
0.812,64.20390677452087
0.812,64.30879831314087
0.812,64.4136700630188
0.812,64.51862716674805
0.812,64.62349796295166
0.812,64.72866725921631
0.812,64.83372259140015
0.799,64.938796043396
0.799,65.04388737678528
0.773,65.14894223213196
0.773,65.2540991306305
0.786,65.35921955108643
0.773,65.46426630020142
0.735,65.56935524940491
0.735,65.67439675331116
0.735,65.77943062782288
0.722,65.88452053070068
0.722,65.9895989894867
0.722,66.09463548660278
0.722,66.19968056678772
0.722,66.30480170249939
0.709,66.40984654426575
0.696,66.5149621963501
0.67,66.62004899978638
0.67,66.72513961791992
0.645,66.83036208152771
0.657,66.93543195724487
0.657,67.0405204296112
0.632,67.14558458328247
0.645,67.25067067146301
0.645,67.3558120727539
0.632,67.460768699646
0.619,67.56565523147583
0.619,67.67053604125977
0.619,67.77542304992676
0.593,67.88034343719482
0.593,67.9852204322815
0.619,68.0902943611145
0.58,68.19534063339233
0.593,68.30040645599365
0.58,68.40550971031189
0.554,68.51055407524109
0.567,68.61561107635498
0.567,68.72072243690491
0.541,68.82579970359802
0.541,68.93093276023865
0.529,69.0358395576477
0.541,69.14071393013
0.541,69.24560379981995
0.529,69.3504867553711
0.529,69.45536637306213
0.516,69.5602560043335
0.503,69.665363073349
0.503,69.77041625976562
0.503,69.875479221344
0.503,69.9805428981781
0.49,70.08558583259583
0.477,70.19067645072937
0.49,70.29573464393616
0.477,70.40083003044128
0.451,70.50592803955078
0.4,70.61099553108215
0.4,70.71603965759277
0.4,70.82123041152954
0.4,70.9263026714325
0.4,71.03134822845459
0.4,71.13646364212036
0.4,71.24150037765503
0.4,71.34662222862244
0.4,71.45177483558655
0.4,71.55684280395508
0.4,71.66195750236511
0.4,71.76707482337952
0.4,71.87215733528137
0.4,71.97732543945312
0.4,72.0823621749878
0.4,72.18745493888855
0.387,72.2925078868866
0.387,72.39755773544312
0.387,72.50259709358215
0.387,72.60767984390259
0.387,72.71273922920227
0.374,72.81780433654785
0.387,72.92296290397644
0.361,73.02809858322144
0.361,73.1331958770752
0.361,73.23825454711914
0.361,73.34336471557617
0.361,73.44841289520264
0.361,73.55352568626404
0.348,73.65856981277466
0.348,73.76366305351257
0.322,73.8689558506012
0.335,73.97413992881775
0.348,74.0790445804596
0.348,74.18394660949707
0.322,74.28883290290833
0.335,74.39370536804199
0.322,74.49860334396362
0.322,74.60348439216614
0.309,74.70856094360352
0.309,74.81361222267151
0.309,74.91870427131653
0.309,75.02390027046204
0.309,75.12897109985352
0.296,75.23404383659363
0.309,75.33908295631409
0.296,75.44413638114929
0.309,75.54922533035278
0.296,75.65428256988525
0.284,75.75938510894775
0.284,75.86445116996765
0.284,75.96949005126953
0.284,76.07459902763367
